index,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
12,13,20,RL,,12968,2,0,2,4,4,5,3,Sawyer,Norm,Norm,1Fam,1,5,6,1962,1962,Hip,2,HdBoard,Plywood,1,0,3,3,5,3,3,1,5,737,1,0,175,912,5,3,Y,5,912,0,0,912,1,0,1,0,2,1,3,4,8,0,0,1,1962,1,1,352,3,3,3,140,0,0,0,176,0,0,0,,0,9,2008,WD,Normal,144000
13,14,20,RL,91,10652,2,0,3,4,4,5,3,CollgCr,Norm,Norm,1Fam,1,7,5,2006,2007,Gable,2,VinylSd,VinylSd,5,306,4,3,4,4,3,3,1,0,1,0,1494,1494,5,5,Y,5,1494,0,0,1494,0,0,2,0,3,1,4,7,8,1,4,5,2006,2,3,840,3,3,3,160,33,0,0,0,0,0,0,,0,8,2007,New,Partial,279500
14,15,20,RL,,10920,2,0,3,4,4,4,3,NAmes,Norm,Norm,1Fam,1,6,5,1960,1960,Hip,2,MetalSd,MetalSd,3,212,3,3,5,3,3,1,4,733,1,0,520,1253,5,3,Y,5,1253,0,0,1253,1,0,1,1,2,1,3,5,8,1,2,5,1960,2,1,352,3,3,3,0,213,176,0,0,0,0,2,,0,5,2008,WD,Normal,157000
15,16,45,RM,51,6120,2,0,4,4,4,4,3,BrkSide,Norm,Norm,1Fam,3,7,8,1929,2001,Gable,2,Wd Sdng,Wd Sdng,1,0,3,3,6,3,3,1,1,0,1,0,832,832,5,5,Y,4,854,0,0,854,0,0,1,0,2,1,3,5,8,0,0,1,1991,1,2,576,3,3,3,48,112,0,0,0,0,0,4,,0,7,2007,WD,Normal,132000
16,17,20,RL,,11241,2,0,3,4,4,3,3,NAmes,Norm,Norm,1Fam,1,6,7,1970,1970,Gable,2,Wd Sdng,Wd Sdng,3,180,3,3,5,3,3,1,5,578,1,0,426,1004,5,5,Y,5,1004,0,0,1004,1,0,1,0,2,1,3,5,8,1,3,5,1970,3,2,480,3,3,3,0,0,0,0,0,0,0,0,Shed,700,3,2010,WD,Normal,149000
17,18,90,RL,72,10791,2,0,4,4,4,5,3,Sawyer,Norm,Norm,Duplex,1,4,5,1967,1967,Gable,2,MetalSd,MetalSd,1,0,3,3,3,0,0,0,0,0,0,0,0,0,5,3,Y,5,1296,0,0,1296,0,0,2,0,2,2,3,6,8,0,0,2,1967,1,2,516,3,3,3,0,0,0,0,0,0,0,0,Shed,500,10,2006,WD,Normal,90000
18,19,20,RL,66,13695,2,0,4,4,4,5,3,SawyerW,RRAe,Norm,1Fam,1,5,5,2004,2004,Gable,2,VinylSd,VinylSd,1,0,3,3,4,3,3,1,6,646,1,0,468,1114,5,5,Y,5,1114,0,0,1114,1,0,1,1,3,1,4,6,8,0,0,1,2004,1,2,576,3,3,3,0,102,0,0,0,0,0,0,,0,6,2008,WD,Normal,159000
19,20,20,RL,70,7560,2,0,4,4,4,5,3,NAmes,Norm,Norm,1Fam,1,5,6,1958,1965,Hip,2,BrkFace,Plywood,1,0,3,3,5,3,3,1,2,504,1,0,525,1029,5,3,Y,5,1339,0,0,1339,0,0,1,0,3,1,3,6,7,0,0,5,1958,1,1,294,3,3,3,0,0,0,0,0,0,0,3,,0,5,2009,COD,Abnorml,139000
20,21,60,RL,101,14215,2,0,3,4,4,4,3,NridgHt,Norm,Norm,1Fam,4,8,5,2005,2006,Gable,2,VinylSd,VinylSd,3,380,4,3,4,5,3,3,1,0,1,0,1158,1158,5,5,Y,5,1158,1218,0,2376,0,0,3,1,4,1,4,9,8,1,4,3,2005,2,3,853,3,3,3,240,154,0,0,0,0,0,0,,0,11,2006,New,Partial,325300
21,22,45,RM,57,7449,2,3,4,3,4,5,3,IDOTRR,Norm,Norm,1Fam,3,7,7,1930,1950,Gable,2,Wd Sdng,Wd Sdng,1,0,3,3,4,3,3,1,1,0,1,0,637,637,5,5,Y,2,1108,0,0,1108,0,0,1,0,3,1,4,6,8,1,4,5,1930,1,1,280,3,3,1,0,0,205,0,0,0,0,4,,0,6,2007,WD,Normal,139400
22,23,20,RL,75,9742,2,0,4,4,4,5,3,CollgCr,Norm,Norm,1Fam,1,8,5,2002,2002,Hip,2,VinylSd,VinylSd,3,281,4,3,4,4,3,1,1,0,1,0,1777,1777,5,5,Y,5,1795,0,0,1795,0,0,2,0,3,1,4,7,8,1,4,5,2002,2,2,534,3,3,3,171,159,0,0,0,0,0,0,,0,9,2008,WD,Normal,230000
23,24,120,RM,44,4224,2,0,4,4,4,5,3,MeadowV,Norm,Norm,TwnhsE,1,5,7,1976,1976,Gable,2,CemntBd,CmentBd,1,0,3,3,4,4,3,1,6,840,1,0,200,1040,5,3,Y,5,1060,0,0,1060,1,0,1,0,3,1,3,6,8,1,3,5,1976,1,2,572,3,3,3,100,110,0,0,0,0,0,0,,0,6,2007,WD,Normal,129900
24,25,20,RL,,8246,2,0,3,4,4,5,3,Sawyer,Norm,Norm,1Fam,1,5,8,1968,2001,Gable,2,Plywood,Plywood,1,0,3,4,5,3,3,2,3,188,5,668,204,1060,5,5,Y,5,1060,0,0,1060,1,0,1,0,3,1,4,6,8,1,3,5,1968,1,1,270,3,3,3,406,90,0,0,0,0,0,3,,0,5,2010,WD,Normal,154000
25,26,20,RL,110,14230,2,0,4,4,4,4,3,NridgHt,Norm,Norm,1Fam,1,8,5,2007,2007,Gable,2,VinylSd,VinylSd,5,640,4,3,4,4,3,1,1,0,1,0,1566,1566,5,5,Y,5,1600,0,0,1600,0,0,2,0,3,1,4,7,8,1,4,5,2007,2,3,890,3,3,3,0,56,0,0,0,0,0,0,,0,7,2009,WD,Normal,256300
26,27,20,RL,60,7200,2,0,4,4,4,4,3,NAmes,Norm,Norm,1Fam,1,5,7,1951,2000,Gable,2,Wd Sdng,Wd Sdng,1,0,3,3,5,3,3,2,4,234,3,486,180,900,5,3,Y,5,900,0,0,900,0,1,1,0,3,1,4,5,8,0,0,1,2005,1,2,576,3,3,3,222,32,0,0,0,0,0,0,,0,5,2010,WD,Normal,134800
27,28,20,RL,98,11478,2,0,4,4,4,5,3,NridgHt,Norm,Norm,1Fam,1,8,5,2007,2008,Gable,2,VinylSd,VinylSd,5,200,4,3,4,5,3,1,6,1218,1,0,486,1704,5,5,Y,5,1704,0,0,1704,1,0,2,0,3,1,4,7,8,1,4,5,2008,2,3,772,3,3,3,0,50,0,0,0,0,0,0,,0,5,2010,WD,Normal,306000
28,29,20,RL,47,16321,2,0,3,4,4,3,3,NAmes,Norm,Norm,1Fam,1,5,6,1957,1997,Gable,2,MetalSd,MetalSd,1,0,3,3,5,3,3,4,4,1277,1,0,207,1484,5,3,Y,5,1600,0,0,1600,1,0,1,0,2,1,3,6,8,2,4,5,1957,2,1,319,3,3,3,288,258,0,0,0,0,0,0,,0,12,2006,WD,Normal,207500
29,30,30,RM,60,6324,2,0,3,4,4,5,3,BrkSide,Feedr,RRNn,1Fam,1,4,6,1927,1950,Gable,2,MetalSd,MetalSd,1,0,3,3,6,3,3,1,1,0,1,0,520,520,5,2,N,5,520,0,0,520,0,0,1,0,1,1,2,4,8,0,0,1,1920,1,1,240,2,3,3,49,0,87,0,0,0,0,0,,0,5,2008,WD,Normal,68500
30,31,70,C (all),50,8500,2,2,4,4,4,5,3,IDOTRR,Feedr,Norm,1Fam,4,4,4,1920,1950,Gambrel,2,BrkFace,BrkFace,1,0,3,2,6,3,3,1,1,0,1,0,649,649,5,3,N,5,649,668,0,1317,0,0,1,0,3,1,3,6,8,0,0,1,1920,1,1,250,3,2,1,0,54,172,0,0,0,0,3,,0,7,2008,WD,Normal,40000
31,32,20,RL,,8544,2,0,3,4,4,3,3,Sawyer,Norm,Norm,1Fam,1,5,6,1966,2006,Gable,2,HdBoard,HdBoard,1,0,3,3,5,3,3,1,1,0,1,0,1228,1228,5,4,Y,5,1228,0,0,1228,0,0,1,1,3,1,4,6,8,0,0,5,1966,1,1,271,3,3,3,0,65,0,0,0,0,0,3,,0,6,2008,WD,Normal,149350
32,33,20,RL,85,11049,2,0,4,4,4,4,3,CollgCr,Norm,Norm,1Fam,1,8,5,2007,2007,Gable,2,VinylSd,VinylSd,1,0,4,3,4,5,3,3,1,0,1,0,1234,1234,5,5,Y,5,1234,0,0,1234,0,0,2,0,3,1,4,7,8,0,0,5,2007,2,2,484,3,3,3,0,30,0,0,0,0,0,0,,0,1,2008,WD,Normal,179900
33,34,20,RL,70,10552,2,0,3,4,4,5,3,NAmes,Norm,Norm,1Fam,1,5,5,1959,1959,Hip,2,BrkFace,BrkFace,1,0,3,3,5,3,3,1,3,1018,1,0,380,1398,5,4,Y,5,1700,0,0,1700,0,1,1,1,4,1,4,6,8,1,4,5,1959,2,2,447,3,3,3,0,38,0,0,0,0,0,0,,0,4,2010,WD,Normal,165500
34,35,120,RL,60,7313,2,0,4,4,4,5,3,NridgHt,Norm,Norm,TwnhsE,1,9,5,2005,2005,Hip,2,MetalSd,MetalSd,3,246,5,3,4,5,3,1,6,1153,1,0,408,1561,5,5,Y,5,1561,0,0,1561,1,0,2,0,2,1,5,6,8,1,4,5,2005,3,2,556,3,3,3,203,47,0,0,0,0,0,0,,0,8,2007,WD,Normal,277500
35,36,60,RL,108,13418,2,0,4,4,4,5,3,NridgHt,Norm,Norm,1Fam,4,8,5,2004,2005,Gable,2,VinylSd,VinylSd,5,132,4,3,4,5,3,3,1,0,1,0,1117,1117,5,5,Y,5,1132,1320,0,2452,0,0,3,1,4,1,4,9,8,1,4,3,2004,3,3,691,3,3,3,113,32,0,0,0,0,0,0,,0,9,2006,WD,Normal,309000
36,37,20,RL,112,10859,2,0,4,4,4,4,3,CollgCr,Norm,Norm,1Fam,1,5,5,1994,1995,Gable,2,VinylSd,VinylSd,1,0,3,3,4,4,3,1,1,0,1,0,1097,1097,5,5,Y,5,1097,0,0,1097,0,0,1,1,3,1,3,6,8,0,0,5,1995,1,2,672,3,3,3,392,64,0,0,0,0,0,0,,0,6,2009,WD,Normal,145000
37,38,20,RL,74,8532,2,0,4,4,4,5,3,NAmes,Norm,Norm,1Fam,1,5,6,1954,1990,Hip,2,Wd Sdng,Wd Sdng,3,650,3,3,5,3,3,1,3,1213,1,0,84,1297,5,4,Y,5,1297,0,0,1297,0,1,1,0,3,1,3,5,8,1,3,5,1954,3,2,498,3,3,3,0,0,0,0,0,0,0,0,,0,10,2009,WD,Normal,153000
38,39,20,RL,68,7922,2,0,4,4,4,5,3,NAmes,Norm,Norm,1Fam,1,5,7,1953,2007,Gable,2,VinylSd,VinylSd,1,0,3,4,5,3,3,1,6,731,1,0,326,1057,5,3,Y,5,1057,0,0,1057,1,0,1,0,3,1,4,5,8,0,0,1,1953,1,1,246,3,3,3,0,52,0,0,0,0,0,0,,0,1,2010,WD,Abnorml,109000
39,40,90,RL,65,6040,2,0,4,4,4,5,3,Edwards,Norm,Norm,Duplex,1,4,5,1955,1955,Gable,2,AsbShng,Plywood,1,0,3,3,4,0,0,0,0,0,0,0,0,0,5,3,N,1,1152,0,0,1152,0,0,2,0,2,2,2,6,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,6,2008,WD,AdjLand,82000
40,41,20,RL,84,8658,2,0,4,4,4,5,3,NAmes,Norm,Norm,1Fam,1,6,5,1965,1965,Gable,2,Wd Sdng,Wd Sdng,3,101,3,3,5,3,3,1,3,643,1,0,445,1088,5,5,Y,5,1324,0,0,1324,0,0,2,0,3,1,3,6,8,1,3,5,1965,2,2,440,3,3,3,0,138,0,0,0,0,0,2,,0,12,2006,WD,Abnorml,160000
41,42,20,RL,115,16905,2,0,4,4,4,5,3,Timber,Norm,Norm,1Fam,1,5,6,1959,1959,Gable,2,VinylSd,VinylSd,1,0,3,4,5,3,3,4,4,967,1,0,383,1350,5,4,Y,5,1328,0,0,1328,0,1,1,1,2,1,3,5,8,2,4,5,1959,2,1,308,3,3,2,0,104,0,0,0,0,0,0,,0,7,2007,WD,Normal,170000
42,43,85,RL,,9180,2,0,3,4,4,3,3,SawyerW,Norm,Norm,1Fam,7,5,7,1983,1983,Gable,2,HdBoard,HdBoard,1,0,3,3,5,4,3,3,5,747,2,93,0,840,5,4,Y,5,884,0,0,884,1,0,1,0,2,1,4,5,8,0,0,5,1983,2,2,504,3,4,3,240,0,0,0,0,0,0,3,,0,12,2007,WD,Normal,144000
43,44,20,RL,,9200,2,0,3,4,4,3,3,CollgCr,Norm,Norm,1Fam,1,5,6,1975,1980,Hip,2,VinylSd,VinylSd,1,0,3,3,5,4,3,3,2,280,4,491,167,938,5,3,Y,5,938,0,0,938,1,0,1,0,3,1,3,5,8,0,0,1,1977,1,1,308,3,3,3,145,0,0,0,0,0,0,3,,0,7,2008,WD,Normal,130250
44,45,20,RL,70,7945,2,0,4,4,4,5,3,NAmes,Norm,Norm,1Fam,1,5,6,1959,1959,Gable,2,BrkFace,Wd Sdng,1,0,3,3,5,3,3,1,5,179,4,506,465,1150,5,5,Y,4,1150,0,0,1150,1,0,1,0,3,1,3,6,8,0,0,5,1959,2,1,300,3,3,3,0,0,0,0,0,0,0,0,,0,5,2006,WD,Normal,141000
45,46,120,RL,61,7658,2,0,4,4,4,5,3,NridgHt,Norm,Norm,TwnhsE,1,9,5,2005,2005,Hip,2,MetalSd,MetalSd,3,412,5,3,4,5,3,1,6,456,1,0,1296,1752,5,5,Y,5,1752,0,0,1752,1,0,2,0,2,1,5,6,8,1,4,5,2005,2,2,576,3,3,3,196,82,0,0,0,0,0,0,,0,2,2010,WD,Normal,319900
46,47,50,RL,48,12822,2,0,3,4,4,3,3,Mitchel,Norm,Norm,1Fam,2,7,5,2003,2003,Gable,2,VinylSd,VinylSd,1,0,4,3,4,5,3,1,6,1351,1,0,83,1434,5,5,Y,5,1518,631,0,2149,1,0,1,1,1,1,4,6,8,1,5,5,2003,2,2,670,3,3,3,168,43,0,0,198,0,0,0,,0,8,2009,WD,Abnorml,239686
47,48,20,FV,84,11096,2,0,4,4,4,5,3,Somerst,Norm,Norm,1Fam,1,8,5,2006,2006,Gable,2,VinylSd,VinylSd,1,0,4,3,4,4,3,3,6,24,1,0,1632,1656,5,5,Y,5,1656,0,0,1656,0,0,2,0,3,1,4,7,8,0,0,5,2006,2,3,826,3,3,3,0,146,0,0,0,0,0,0,,0,7,2007,WD,Normal,249700
48,49,190,RM,33,4456,2,0,4,4,4,5,3,OldTown,Norm,Norm,2fmCon,4,4,5,1920,2008,Gable,2,MetalSd,MetalSd,1,0,3,3,6,3,3,1,1,0,1,0,736,736,5,4,Y,5,736,716,0,1452,0,0,2,0,2,3,3,8,8,0,0,0,0,0,0,0,0,0,1,0,0,102,0,0,0,0,0,,0,6,2009,New,Partial,113000
49,50,20,RL,66,7742,2,0,4,4,4,5,3,Sawyer,Norm,Norm,1Fam,1,5,7,1966,1966,Gable,2,HdBoard,HdBoard,1,0,3,3,5,3,3,1,4,763,1,0,192,955,5,5,Y,5,955,0,0,955,1,0,1,0,3,1,3,6,8,0,0,5,1966,1,1,386,3,3,3,0,0,0,0,0,0,0,3,,0,1,2007,WD,Normal,127000
50,51,60,RL,,13869,2,0,2,4,4,4,3,Gilbert,Norm,Norm,1Fam,4,6,6,1997,1997,Gable,2,VinylSd,VinylSd,1,0,3,3,4,4,3,3,6,182,1,0,612,794,5,4,Y,5,794,676,0,1470,0,1,2,0,3,1,3,6,8,0,0,5,1997,3,2,388,3,3,3,0,75,0,0,0,0,0,0,,0,7,2007,WD,Normal,177000
51,52,50,RM,52,6240,2,0,4,4,4,5,3,BrkSide,Norm,Norm,1Fam,2,6,6,1934,1950,Gable,2,Wd Sdng,Wd Sdng,1,0,3,3,4,3,3,1,1,0,1,0,816,816,5,3,Y,5,816,0,360,1176,0,0,1,0,3,1,3,6,8,1,4,1,1985,1,2,528,3,3,3,112,0,0,0,0,0,0,3,Shed,400,9,2006,WD,Normal,114500
52,53,90,RM,110,8472,3,0,2,3,4,4,2,IDOTRR,RRNn,Norm,Duplex,1,5,5,1963,1963,Gable,2,Wd Sdng,Wd Sdng,1,0,2,3,5,4,3,4,2,104,6,712,0,816,5,3,N,5,816,0,0,816,1,0,1,0,2,1,3,5,8,0,0,2,1963,1,2,516,3,3,3,106,0,0,0,0,0,0,0,,0,5,2010,WD,Normal,110000
53,54,20,RL,68,50271,2,0,3,2,4,5,3,Veenker,Norm,Norm,1Fam,1,9,5,1981,1987,Gable,8,WdShing,Wd Shng,1,0,4,3,5,5,3,4,6,1810,1,0,32,1842,5,4,Y,5,1842,0,0,1842,2,0,0,1,0,1,4,5,8,1,4,5,1981,3,3,894,3,3,3,857,72,0,0,0,0,0,0,,0,11,2006,WD,Normal,385000
54,55,80,RL,60,7134,2,0,4,3,4,5,2,NAmes,Norm,Norm,1Fam,8,5,5,1955,1955,Gable,2,MetalSd,MetalSd,1,0,3,3,5,3,3,1,5,384,1,0,0,384,5,3,Y,5,1360,0,0,1360,0,0,1,0,3,1,3,6,7,1,3,1,1962,1,2,572,3,3,3,0,50,0,0,0,0,0,3,,0,2,2007,WD,Normal,130000
55,56,20,RL,100,10175,2,0,3,4,4,5,3,NAmes,Norm,Norm,1Fam,1,6,5,1964,1964,Gable,2,HdBoard,Plywood,3,272,3,3,5,3,3,1,4,490,1,0,935,1425,5,4,Y,5,1425,0,0,1425,0,0,2,0,3,1,3,7,8,1,4,5,1964,2,2,576,3,3,3,0,0,0,407,0,0,0,0,,0,7,2008,WD,Normal,180500
56,57,160,FV,24,2645,2,2,4,4,4,5,3,Somerst,Norm,Norm,Twnhs,4,8,5,1999,2000,Gable,2,MetalSd,MetalSd,3,456,4,3,4,4,3,1,6,649,1,0,321,970,5,5,Y,5,983,756,0,1739,1,0,2,1,3,1,4,7,8,0,0,5,1999,3,2,480,3,3,3,115,0,0,0,0,0,0,0,,0,8,2009,WD,Abnorml,172500
57,58,60,RL,89,11645,2,0,3,4,4,4,3,CollgCr,Norm,Norm,1Fam,4,7,5,2004,2004,Gable,2,VinylSd,VinylSd,1,0,4,3,4,4,3,1,1,0,1,0,860,860,5,5,Y,5,860,860,0,1720,0,0,2,1,3,1,4,7,8,0,0,5,2004,2,2,565,3,3,3,0,70,0,0,0,0,0,0,,0,8,2006,WD,Normal,196500
58,59,60,RL,66,13682,2,0,2,2,4,3,3,StoneBr,Norm,Norm,1Fam,4,10,5,2006,2006,Hip,2,VinylSd,VinylSd,3,1031,5,3,4,5,3,4,1,0,1,0,1410,1410,5,5,Y,5,1426,1519,0,2945,0,0,3,1,3,1,4,10,8,1,4,3,2006,3,3,641,3,3,3,192,0,37,0,0,0,0,0,,0,10,2006,New,Partial,438780
59,60,20,RL,60,7200,2,0,4,3,4,5,3,CollgCr,Norm,Norm,1Fam,1,5,7,1972,1972,Gable,2,HdBoard,HdBoard,1,0,3,3,5,3,3,3,5,632,1,0,148,780,5,5,Y,5,780,0,0,780,0,0,1,0,2,1,3,4,8,0,0,1,1973,1,1,352,3,3,3,196,0,0,0,0,0,0,3,,0,1,2008,WD,Normal,124900
60,61,20,RL,63,13072,2,0,4,4,4,5,3,SawyerW,RRAe,Norm,1Fam,1,6,5,2004,2004,Gable,2,VinylSd,VinylSd,1,0,3,3,4,4,3,1,5,941,1,0,217,1158,5,5,Y,5,1158,0,0,1158,1,0,1,1,3,1,4,5,8,0,0,1,2006,1,2,576,3,3,3,0,50,0,0,0,0,0,0,,0,5,2006,New,Partial,158000
61,62,75,RM,60,7200,2,0,4,4,4,5,3,IDOTRR,Norm,Norm,1Fam,6,5,7,1920,1996,Gable,2,MetalSd,MetalSd,1,0,3,3,6,3,2,1,1,0,1,0,530,530,5,3,N,5,581,530,0,1111,0,0,1,0,3,1,2,6,8,0,0,1,1935,1,1,288,3,3,1,0,0,144,0,0,0,0,0,,0,3,2007,WD,Normal,101000
62,63,120,RL,44,6442,2,0,3,4,4,5,3,NridgHt,Norm,Norm,TwnhsE,1,8,5,2006,2006,Gable,2,VinylSd,VinylSd,5,178,4,3,4,4,4,2,6,24,1,0,1346,1370,5,5,Y,5,1370,0,0,1370,0,0,2,0,2,1,4,6,8,1,4,5,2006,2,2,484,3,3,3,120,49,0,0,0,0,0,0,,0,10,2007,WD,Normal,202500
63,64,70,RM,50,10300,2,0,3,3,4,5,3,OldTown,RRAn,Feedr,1Fam,4,7,6,1921,1950,Gable,2,Stucco,Stucco,1,0,3,3,6,3,3,1,1,0,1,0,576,576,5,4,Y,5,902,808,0,1710,0,0,2,0,3,1,3,9,8,0,0,1,1990,1,2,480,3,3,3,12,11,64,0,0,0,0,4,,0,4,2010,WD,Normal,140000
64,65,60,RL,,9375,2,0,4,4,4,5,3,CollgCr,Norm,Norm,1Fam,4,7,5,1997,1998,Gable,2,VinylSd,VinylSd,3,573,3,3,4,4,3,1,6,739,1,0,318,1057,5,5,Y,5,1057,977,0,2034,1,0,2,1,3,1,4,8,8,0,0,5,1998,2,2,645,3,3,3,576,36,0,0,0,0,0,4,,0,2,2009,WD,Normal,219500
